product_id,product_name,category,price
1,Sea,Personal Care,164.17
2,Need,Personal Care,407.69
3,Garden,Dairy,73.8
4,Approach,Beverages,241.59
5,Themselves,Snacks,403.44
6,Everyone,Dairy,24.13
7,Similar,Beverages,159.48
8,Wind,Dairy,267.64
9,Picture,Dairy,229.03
10,Weight,Beverages,65.72
11,This,Dairy,378.14
12,Record,Beverages,324.35
13,Type,Personal Care,437.32
14,Themselves,Personal Care,431.58
15,Name,Snacks,274.67
16,Outside,Snacks,35.84
17,Throw,Beverages,355.74
18,Most,Dairy,50.68
19,Campaign,Beverages,263.03
20,Impact,Dairy,494.78
21,Wonder,Dairy,440.39
22,Benefit,Snacks,75.99
23,Pass,Beverages,279.43
24,Today,Snacks,114.19
25,Government,Dairy,140.88
26,Maintain,Dairy,297.69
27,On,Snacks,370.96
28,Computer,Beverages,156.96
29,Reason,Snacks,433.22
30,Job,Snacks,175.55
31,Entire,Dairy,176.31
32,Door,Personal Care,292.06
33,Teach,Dairy,445.09
34,Beautiful,Personal Care,10.76
35,Material,Personal Care,299.82
36,Activity,Dairy,363.72
37,Pattern,Snacks,54.93
38,Smile,Snacks,482.87
39,Full,Personal Care,38.52
40,Response,Dairy,430.7
41,Operation,Dairy,109.12
42,Nice,Snacks,327.54
43,Sister,Beverages,315.66
44,Themselves,Personal Care,475.83
45,Fish,Dairy,203.75
46,Small,Personal Care,320.32
47,Interview,Dairy,312.53
48,Bank,Personal Care,223.48
49,East,Personal Care,497.69
50,Leader,Personal Care,162.09
51,Red,Dairy,91.59
52,Similar,Beverages,195.47
53,Partner,Dairy,251.73
54,Bill,Beverages,385.9
55,Boy,Personal Care,208.7
56,Cut,Personal Care,202.02
57,Factor,Dairy,77.42
58,Situation,Dairy,76.85
59,Buy,Beverages,83.79
60,Good,Beverages,17.69
61,Nature,Personal Care,299.55
62,Laugh,Snacks,293.38
63,Discover,Snacks,463.16
64,Interesting,Snacks,106.98
65,There,Beverages,138.91
66,Stage,Snacks,358.66
67,City,Personal Care,19.81
68,Inside,Dairy,215.22
69,Economy,Personal Care,395.3
70,However,Snacks,155.59
71,Others,Snacks,142.75
72,Language,Beverages,192.31
73,Soon,Dairy,322.66
74,Society,Dairy,26.3
75,Many,Personal Care,299.81
76,Specific,Snacks,377.57
77,Surface,Personal Care,372.36
78,Answer,Beverages,485.69
79,Cold,Personal Care,386.85
80,Center,Beverages,109.86
81,Training,Beverages,106.59
82,Growth,Personal Care,341.02
83,Rich,Personal Care,245.79
84,Detail,Snacks,404.11
85,Rest,Snacks,212.14
86,From,Dairy,129.7
87,Baby,Dairy,145.4
88,Inside,Dairy,142.85
89,Nothing,Dairy,424.24
90,Spring,Snacks,473.41
91,Reality,Personal Care,218.14
92,Stop,Snacks,472.79
93,Day,Snacks,327.87
94,Agreement,Beverages,373.65
95,Sort,Dairy,53.58
96,May,Dairy,89.58
97,Factor,Personal Care,131.81
98,Relate,Dairy,242.76
99,Audience,Dairy,257.48
100,But,Snacks,443.53
101,Ask,Dairy,91.3
102,Speak,Dairy,177.15
103,Leg,Snacks,396.69
104,Result,Dairy,373.3
105,Great,Beverages,251.3
106,Every,Beverages,103.27
107,Himself,Snacks,25.19
108,He,Snacks,242.18
109,Same,Personal Care,129.65
110,Get,Beverages,422.98
111,Song,Snacks,495.75
112,Staff,Dairy,394.33
113,Measure,Snacks,157.72
114,Smile,Beverages,494.9
115,Situation,Dairy,250.78
116,Mean,Beverages,269.82
117,Develop,Snacks,315.19
118,Modern,Dairy,383.22
119,End,Snacks,444.39
120,On,Snacks,202.67
121,First,Beverages,15.57
122,Across,Snacks,282.07
123,Wall,Beverages,182.57
124,Final,Snacks,457.56
125,Really,Beverages,155.13
126,Begin,Beverages,255.61
127,Central,Beverages,451.75
128,Around,Beverages,471.58
129,Population,Snacks,302.8
130,News,Beverages,423.69
131,Bill,Personal Care,318.2
132,Season,Dairy,192.01
133,Despite,Dairy,363.82
134,Up,Personal Care,192.44
135,Now,Beverages,118.95
136,To,Beverages,314.85
137,Father,Dairy,108.35
138,View,Dairy,362.6
139,Partner,Snacks,133.4
140,Feeling,Dairy,166.34
141,Magazine,Dairy,128.44
142,Sell,Dairy,421.59
143,Idea,Snacks,354.5
144,Such,Dairy,15.44
145,Necessary,Snacks,457.39
146,Finally,Dairy,200.85
147,Capital,Beverages,351.0
148,Include,Snacks,444.23
149,Poor,Dairy,187.33
150,Base,Beverages,76.22
151,Past,Beverages,415.62
152,Enter,Beverages,439.64
153,Wind,Dairy,381.92
154,Others,Snacks,152.66
155,Part,Beverages,214.24
156,Collection,Dairy,247.6
157,Certainly,Dairy,418.36
158,Money,Dairy,270.45
159,Section,Personal Care,366.1
160,Site,Snacks,191.19
161,They,Beverages,128.17
162,Company,Dairy,82.26
163,Author,Snacks,188.81
164,Far,Personal Care,442.31
165,More,Dairy,42.74
166,Be,Personal Care,56.61
167,Society,Snacks,446.84
168,Director,Dairy,154.55
169,Four,Dairy,93.53
170,Quality,Beverages,80.47
171,Onto,Dairy,66.15
172,Machine,Personal Care,162.09
173,Economy,Personal Care,414.93
174,Side,Snacks,444.65
